id;order_number;status;total_amount;created_date;remarks
1;misappropriate;safely amend furthermore;26628.9;2026-05-20T01:49:28;for heavily
2;custody;but muddy rewarding;21513.99;2026-05-19T16:11:49;even
3;solution;gigantic despite;8369.76;2026-05-19T23:44:17;kit and
4;ew obnoxiously oh;whenever tomorrow;22961.86;2026-05-19T21:59:23;shell yum furthermore
5;including bid;second-hand over pronoun;24342.78;2026-05-20T07:19:17;hence yellowish
6;fray developmental phooey;black-and-white;7942.36;2026-05-19T21:05:12;carouse awful barring
7;blah;instantly;1939.67;2026-05-20T10:31:13;whoa blah
8;annex;er joshingly;16493.82;2026-05-19T15:28:37;approach than aha
9;murky for lighthearted;insert norm;22009.72;2026-05-20T00:31:27;mount frantically bouncy
10;why;juggernaut petty;1608.08;2026-05-19T19:54:17;glimmer helpfully upwardly
