id;title;category;amount;expense_date;remarks
1;electronics talkative ugh;gloomy ew;26269.24;2026-05-20T03:07:56;save publicize whoa
2;colorfully er;uneven;20968.13;2026-05-19T22:00:32;psst
3;generously diversity blah;yahoo minus;19398.11;2026-05-20T02:49:33;openly sour
4;safely aw;inasmuch;28575.13;2026-05-20T13:43:38;to
5;until;pish;24117.79;2026-05-19T16:06:06;lumbering cop-out
6;stuff sequester hope;stump boohoo;24602.37;2026-05-19T23:56:28;until geez
7;ick hmph prime;oof uniform;25335.77;2026-05-20T12:15:10;furiously preheat against
8;monthly until;hungry hopelessly;24870.45;2026-05-19T21:15:25;readily
9;blah;unfortunately anenst;4331.03;2026-05-20T11:29:22;tomorrow
10;carp;birdcage;8815.82;2026-05-19T15:14:38;exactly anenst qualified
