id;inventory_id;remarks;location;description;product_id_id
1;tuxedo acquaintance remark;longingly;gurn;voluntarily;1
2;um;majestically statement;stingy;nasalise actually crest;2
3;fishery jell limply;curiously ick;apropos until pfft;because an;3
4;geez diligently misspend;amid disbar;fine;gee;4
5;poetry;what slipper;since weight;graceful gosh;5
6;outbid remorseful hepatitis;gratefully;ravioli about lucky;a barring on;6
7;misappropriate up brief;accidentally;necessary;ack;7
8;weakly;yet guide bootleg;annex yuck;hm;8
9;after nor versus;gummy;serene than over;thrifty onto;9
10;tusk;abscond;boulevard boohoo hopelessly;splendid atrium;10
