id;invoice_number;total_amount;paid_amount;pending_amount;payment_status;created_date;remarks
1;accidentally bewail round;26181.08;10167.21;31322.69;stable ew;2026-05-20T12:16:52;around shyly
2;midwife majority numb;9302.1;356.13;27435.49;truly seldom keel;2026-05-20T11:33:03;to so
3;flickering;31660.21;28703.12;15893.35;upright;2026-05-20T10:04:19;before whereas um
4;above like daddy;30578.84;1065.83;21040.08;rationalise kowtow freely;2026-05-20T01:58:57;speedily
5;worth relative;22477.83;24929.61;29159.35;once;2026-05-19T16:07:01;with yahoo
6;and judgementally;20816.45;29571.16;16063.8;er;2026-05-19T23:25:45;sheepishly whoever
7;for elderly;2762.75;27361.83;27063.02;whale marketplace;2026-05-20T07:56:18;furthermore
8;astride;6019.82;15901.7;9694.31;apologise loudly;2026-05-20T03:33:34;yowza whenever while
9;phooey probe;18812.06;24205.59;20495.24;afore and;2026-05-20T02:21:31;reprimand hm gallivant
10;however;2029.37;15352.29;31917.67;hence knowledgeably huzzah;2026-05-20T04:15:59;prioritize
