id;transaction_type;quantity;previous_stock;new_stock;remarks;created_date
1;separate;21784;781;7798;pause indeed opposite;2026-05-20T12:57:50
2;vice;3874;26762;14226;firm sans;2026-05-20T09:13:57
3;unto how and;30682;14466;22970;how;2026-05-19T15:48:46
4;interestingly;21148;27305;12650;above hm um;2026-05-20T01:04:34
5;fuzzy while ultimately;22366;24108;19092;scent qua woot;2026-05-20T05:17:00
6;headline;15730;18907;25809;um;2026-05-20T09:12:21
7;vice;7335;12792;2122;aware yowza;2026-05-19T23:04:02
8;bouncy woot kindheartedly;4439;28533;31638;slushy ugh conceptualize;2026-05-20T07:21:58
9;glider pacemaker atop;763;32648;19738;because;2026-05-20T12:18:19
10;charm urgently;24566;28401;32505;ack reconstitute trivial;2026-05-19T18:46:10
